Unique ID,Survey Type,Start time,What are the biggest challenges facing households in your community today?,Do you currently live or work in Southern Maine? (Can select more than one),"If an unexpected expense of $400 came up, would you be able to pay it?",Are you part of a community whose voice you feel is not being heard?,"What community are you referring to?  Please name the group, town, or city. ",What is your age group?,How do you describe your race or ethnicity? (Can select more than one),What is your primary relationship with United Way of Southern Maine (UWSM)?,Want to get involved?  ,How would you consider getting involved locally to be part of the solution? (Select all that apply),Which bills or everyday expenses are the hardest for your household to afford?,What is your zip code?,Are you currently employed?,What type of employment?,Can you describe more about how this financial challenge affects you or your family?,What’s getting in the way of being able to cover your bills or living expenses? (Select all that apply),What supports would be most helpful for you?,"Where would you like to be in 5 years? You can share anything that matters to you—like having a steady job, owning a home, goin",How would you like to be part of creating change in your community? (Select all that apply),How long have you lived in Maine?,Would you be willing to share your story with others in the community?
10010,Full Survey,1102066:29:00,"Rising cost of basics (like food, utilities, essentials);Mental health challenges ;Housing shortage and affordability (rent, utilities, mortgage, taxes);Limited access to, and affordability of, child care;Isolation / disconnected community;",York,"Maybe, with difficulty",Maybe,Other,,,,Yes,Volunteering my time or skills in local programs;Joining a group that solves community issues;,,,,,,,,,,,
10011,ALICE Interviews,1101976:16:32,,,"Maybe, with difficulty",Maybe,,,,,,,"Childcare or School-Related Expenses;Housing costs (e.g., rent, mortgage);",4101,Yes,Full-time hours (40 or more) working for one employer,, I don’t have affordable child care;I don’t have reliable transportation;I’m caring for a family member;,"Rental assistance;Help with child care or after-school care;Help with transportation (gas, car repair, bus passes, etc.);Help with food or groceries;",,"Sharing ideas about what my community needs;Helping spread the word to others;Connecting people I know to helpful programs or services;Joining a group that gives feedback or advice;I’m not sure yet, but I’d like to learn more;",2 to 5 years,Yes l can
10012,Full Survey,1102065:51:10,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;Caring for aging parents or relatives;",Cumberland,Yes,Yes,Other,,,,No,Volunteering my time or skills in local programs;Donating money to United Way of Southern Maine;Sharing my story or experiences to help others understand;,,,,,,,,,,,
10013,ALICE Voices Survey,1101977:25:36,,,No,No,,,,,,,"Utilities (e.g., electricity, water, gas);Groceries/Food;Phone or Internet Service;",4072,No,,Bills are hard to pay sometimes leaving us with power cut offs and hard to buy enough groceries to last,I don’t have reliable transportation;I don’t have the skills or training needed for a better-paying job; I don’t have affordable child care;,Help with food or groceries;Help with job training or education;,"Having a job that could support us and our financial hardship, being able to afford food effortlessly, paying off my school debt, owning a home, starting my business",Helping spread the word to others;Connecting people I know to helpful programs or services;,More than 10 years,"Yes, any way I can (and CA$H staff can contact me to talk more about options)"
10014,Full Survey,1102065:51:15,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Child care that is affordable and available;Getting to work, school, or appointments (transportation);Covering basic expenses (groceries, gas, emergencies);",Cumberland,Yes,No,,,,,No,Donating money to United Way of Southern Maine;,,,,,,,,,,,
10015,ALICE Interviews,1101978:44:29,,,No,Maybe,Single mothers,,,,,,"Utilities (e.g., electricity, water, gas);Groceries/Food;Transportation (e.g., car payments, gas, car repairs or public transport);",3901,No,,"My electricity bill stays between 300 and 700 dollars per month depending on weather. Heat and ACs are insanely expensive. I tried not to run ACs last year and me and some of my kids got heatstroke during a heatwave. It is constantly paid late. My vehicle is falling apart and needs a transmission, I have six kids(one is a disabled toddler with appointments constantly), I drive hundreds of miles every few days and spend thousands of dollars a year on gas, resorting to borrowing and begging for money, my oldest turned 18 and was removed from my foodstamps despite living in the home and starting college, getting enough food is a struggle and I go to food pantries often. I am grateful for help I have received, but the constant struggle is disheartening, I am in college full time so that I can have a better chance at escaping poverty and giving my kids a good role model. I'm the first in my family to attend any university for generations.",I’m caring for a family member;I am in college right now and caring for my disabled son. Things are just expensive. ;I don’t have the skills or training needed for a better-paying job;,"Help with food or groceries;Help with transportation (gas, car repair, bus passes, etc.);","In five years, I will have at minimum, my Bachelor's degree in social work, in a job using it, and working towards my Master's degree.",Volunteering to support local programs ;Sharing ideas about what my community needs;Connecting people I know to helpful programs or services;,More than 10 years,"Yes, any way I can (and CA$H staff can contact me to talk more about options)"
10016,Full Survey,1102065:51:08,"Covering basic expenses (groceries, gas, emergencies);",Other,"Maybe, with difficulty",Maybe,Other,,,,No,Volunteering my time or skills in local programs;Donating money to United Way of Southern Maine;,,,,,,,,,,,
10017,ALICE Interviews,1101985:28:10,,,"Maybe, with difficulty",Maybe,Town,,,,,,"Utilities (e.g., electricity, water, gas);Childcare or School-Related Expenses;Credit Card or Loan Payments;Phone or Internet Service;Groceries/Food;",4005,No,,Single mom of 3 kids who always need something. Prices on everything have gone up so much it makes it difficult at times getting everything that is needed for them and the household., I don’t have affordable child care;I’m caring for a family member;,Help managing debt or improving credit;Help with child care or after-school care;,"Finish school and get my degree , own a home, open a daycare and women’s shelter, feeling healthier and happier about life, see my kids healthy thriving in everything they do",Volunteering to support local programs ;Sharing ideas about what my community needs;Connecting people I know to helpful programs or services;Helping spread the word to others;Joining a group that gives feedback or advice;,1 to 2 years,"Not at this time, but maybe in the future"
10018,Full Survey,1102065:52:27,"Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);",York,No,No,,,,,No,Volunteering my time or skills in local programs;Donating money to United Way of Southern Maine;,,,,,,,,,,,
10019,ALICE Voices Survey,1101992:29:47,,,No,No,null,,,,,,"Housing costs (e.g., rent, mortgage);Utilities (e.g., electricity, water, gas);Groceries/Food;Medical bills/Healthcare Costs;Transportation (e.g., car payments, gas, car repairs or public transport);Phone or Internet Service;",4261,No,,I've lost everything. I'm homeless,I don’t have reliable transportation;I have health issues or a disability;,"Help with food or groceries;Help with transportation (gas, car repair, bus passes, etc.);Help managing debt or improving credit;Help affording healthcare or mental health support;Rental assistance;",Become more healthy and have my own place and car,I am not interested or able to at this time;,More than 10 years,"Not at this time, but maybe in the future"
10020,Full Survey,1102065:52:29,"Jobs with low pay or no benefits;Child care that is affordable and available;Mental health challenges (like anxiety, depression);Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);",York,Yes,No,,,,,No,Volunteering my time or skills in local programs;Not sure yet - I am open to ideas;,,,,,,,,,,,
10021,Abbreviated Survey,1101996:26:01,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Jobs with low pay or no benefits;Covering basic expenses (groceries, gas, emergencies);Behavioral health challenges (like substance use or addiction)",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
10022,Full Survey,1102065:52:46,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available;",Cumberland,Yes,No,,,,,No,Volunteering my time or skills in local programs;,,,,,,,,,,,
10023,ALICE Interviews,1102004:07:34,,,No,Maybe,Town,,,,,,"Housing costs (e.g., rent, mortgage);Transportation (e.g., car payments, gas, car repairs or public transport)",4009,Yes,Full-time hours (40 or more) working for one employer,"haven’t had the best of vehicle for over two years, and having to just keep putting money into a car that’s useless at this point- but don’t have any other options as far as savings or getting something newer, and more reliable. a car payment just isn’t justifiable at this time, all though it would expand so much for me having a more reliable vehicle in winter. i could get better job, if i could travel just a bit more. also just the simple fact that housing is crazy, and one single income just doesn’t cut it these days.  i’m pretty nervous for april 2026, when my lease is up, i can hardly afford the 1100 rent now on my own in the off season- and $1100 is pretty “cheap” these days.",I don’t have reliable transportation;I’m not sure what opportunities are available,"Help with transportation (gas, car repair, bus passes, etc.);Help managing debt or improving credit;Rental assistance","i’d like to have gone back to school, have my “dream car” which is a toyota 4runner, and in a bigger home for makenna and myself.",Helping spread the word to others;Sharing ideas about what my community needs;Connecting people I know to helpful programs or services,More than 10 years,"Not at this time, but maybe in the future"
10024,Full Survey,1102065:52:57,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Mental health challenges (like anxiety, depression);",Cumberland,Yes,Yes,Other,,,,No,Volunteering my time or skills in local programs;Joining a group that solves community issues;Speaking up or helping spread the word about important issues;,,,,,,,,,,,
10025,Abbreviated Survey,1102006:34:28,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Getting to work, school, or appointments (transportation);Covering basic expenses (groceries, gas, emergencies);Getting enough food",York,No,,,,,,,,,,,,,,,,,,
10026,Full Survey,1102065:53:01,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);",Cumberland,Yes,Maybe,Other,,,,Yes,Volunteering my time or skills in local programs;Helping connect people to services or resources;,,,,,,,,,,,
10027,ALICE Interviews,1102017:34:29,,,No,Maybe,Town,,,,,,"Housing costs (e.g., rent, mortgage);Childcare or School-Related Expenses;Insurance Premiums (Health, Car, Home, etc);Phone or Internet Service",4009,Yes,Part-time hours (29 or less),I get stressed out and high anxiety making ends meet,I don’t have time to go back to school or get more training;I don’t have the skills or training needed for a better-paying job,"Help with transportation (gas, car repair, bus passes, etc.);Help with job training or education;Help managing debt or improving credit;Rental assistance","Having a full time job and having better credit, owning my own home","Volunteering to support local programs ;Connecting people I know to helpful programs or services;I’m not sure yet, but I’d like to learn more",More than 10 years,"Yes, but anonymously"
10028,Full Survey,1102065:53:22,"Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Child care that is affordable and available;Getting to work, school, or appointments (transportation);",Cumberland,Yes,No,,,,,No,Helping connect people to services or resources;,,,,,,,,,,,
10029,ALICE Interviews,1102156:57:55,,,Yes,Maybe,,,,,,,"Utilities (e.g., electricity, water, gas);Groceries/Food;Transportation (e.g., car payments, gas, car repairs or public transport);Insurance Premiums (Health, Car, Home, etc)",4106,Yes,32 hours,, I don’t have affordable child care;I don’t have time to go back to school or get more training;I don’t have the skills or training needed for a better-paying job;I’m not sure what opportunities are available,Help with food or groceries;Help with child care or after-school care;Help with job training or education;Employment navigation,paying off my condo,"Volunteering to support local programs ;Sharing ideas about what my community needs;Joining a group that gives feedback or advice;I’m not sure yet, but I’d like to learn more",More than 10 years,"Not at this time, but maybe in the future"
10030,Full Survey,1102065:52:23,"Jobs with low pay or no benefits;Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Behavioral health challenges (like substance use or addiction);",Cumberland,Yes,No,,,,,No,Volunteering my time or skills in local programs;Joining a group that solves community issues;Donating money to United Way of Southern Maine;,,,,,,,,,,,
10031,ALICE Voices Survey,1102187:05:18,,,No,Yes,Town,,,,,,"Housing costs (e.g., rent, mortgage);Transportation (e.g., car payments, gas, car repairs or public transport);Credit Card or Loan Payments",4009,Yes,Full-time hours (40 or more) working for more than one employer,It's a constant stress on how I am going to pay my car payment and my rent each month on top of other expenses. This affects my attitude and patience with my son and makes it so I have to be tight in other areas of our life.,"It seems no matter how much I work, as soon as I get paid, it all goes to some type of bill and then I am broke again. It's a never ending cycle.",Rental assistance;Help managing debt or improving credit;Help with food or groceries,"In 5 years, I would like to be financial stable. It would be a dream to just have all my bills on auto pay and still have money to grab something I randomly needed at the store and didn't have to check my bank account first. I'd love to be able to have a more stable daily routine with my family and dedicated days each week we could do things together.","Sharing ideas about what my community needs;Helping spread the word to others;I’m not sure yet, but I’d like to learn more",More than 10 years,"Yes, but anonymously"
10032,Full Survey,1102065:52:32,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Child care that is affordable and available;Getting enough food;Mental health challenges (like anxiety, depression);",Cumberland,Yes,No,,,,,No,Donating money to United Way of Southern Maine;,,,,,,,,,,,
10033,Full Survey,1102065:53:20,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available;",Cumberland,Yes,Yes,Other,,,,No,Volunteering my time or skills in local programs;Donating money to United Way of Southern Maine;,,,,,,,,,,,
10034,Full Survey,1102065:52:36,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Jobs with low pay or no benefits;",Cumberland,Yes,No,,,,,No,Volunteering my time or skills in local programs;,,,,,,,,,,,
10035,Full Survey,1102065:52:26,"Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Behavioral health challenges (like substance use or addiction);Child care that is affordable and available;",Cumberland & York,Yes,Maybe,Other,,,,Yes,Volunteering my time or skills in local programs;Speaking up or helping spread the word about important issues;,,,,,,,,,,,
10036,Full Survey,1102066:02:48,Caring for aging parents or relatives;Finding affordable healthcare;Getting enough food;Jobs with low pay or no benefits;Lack of stable jobs with career growth;,Cumberland,"Maybe, with difficulty",Yes,Other,,,,No,Volunteering my time or skills in local programs;Joining a group that solves community issues;Sharing my story or experiences to help others understand;Donating money to United Way of Southern Maine;,,,,,,,,,,,
10037,Full Survey,1102066:02:22,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Child care that is affordable and available;Jobs with low pay or no benefits;",Other,Yes,No,,,,,No,Volunteering my time or skills in local programs;Donating money to United Way of Southern Maine;,,,,,,,,,,,
10038,Full Survey,1102066:05:56,"Getting enough food;Mental health challenges (like anxiety, depression);Child care that is affordable and available;Jobs with low pay or no benefits;Covering basic expenses (groceries, gas, emergencies);",York,Yes,No,,,,,No,Donating money to United Way of Southern Maine;,,,,,,,,,,,
10039,Full Survey,1102066:05:46,"Paying for housing (rent, utilities, mortgage, taxes);",Other,Yes,No,,,,,Yes,Volunteering my time or skills in local programs;,,,,,,,,,,,
10040,Full Survey,1102066:05:02,"Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Child care that is affordable and available;Finding affordable healthcare;",Cumberland & York,Yes,Maybe,Other,,,,No,Donating money to United Way of Southern Maine;,,,,,,,,,,,
10041,Full Survey,1102066:07:27,"Paying for housing (rent, utilities, mortgage, taxes);",Cumberland,Yes,No,,,,,No,Speaking up or helping spread the word about important issues;Not sure yet - I am open to ideas;,,,,,,,,,,,
10042,Full Survey,1102066:04:59,"Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;Caring for aging parents or relatives;Jobs with low pay or no benefits;Lack of stable jobs with career growth;",Cumberland,Yes,No,,,,,No,Volunteering my time or skills in local programs;Donating money to United Way of Southern Maine;,,,,,,,,,,,
10043,Full Survey,1102066:07:15,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Behavioral health challenges (like substance use or addiction);",Cumberland,Yes,No,,,,,No,Volunteering my time or skills in local programs;,,,,,,,,,,,
10044,Full Survey,1102066:07:31,"Paying for housing (rent, utilities, mortgage, taxes);Jobs with low pay or no benefits;Mental health challenges (like anxiety, depression);",Cumberland,Yes,No,,,,,,Volunteering my time or skills in local programs;Donating money to United Way of Southern Maine;,,,,,,,,,,,
10045,Full Survey,1102066:09:40,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Caring for aging parents or relatives;Child care that is affordable and available;Covering basic expenses (groceries, gas, emergencies);",Cumberland,Yes,No,,,,,No,Volunteering my time or skills in local programs;Speaking up or helping spread the word about important issues;Donating to United Way of Southern Maine;,,,,,,,,,,,
10046,Full Survey,1102066:11:23,"Covering basic expenses (groceries, gas, emergencies);",Cumberland,Yes,Yes,Other,,,,Yes,Volunteering my time or skills in local programs;,,,,,,,,,,,
10047,Full Survey,1102066:10:23,"Finding affordable healthcare;Covering basic expenses (groceries, gas, emergencies);Jobs with low pay or no benefits;",Cumberland,Yes,Yes,Other,,,,,Speaking up or helping spread the word about important issues;,,,,,,,,,,,
10048,Full Survey,1102066:12:12,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Getting to work, school, or appointments (transportation);",Cumberland,"Maybe, with difficulty",Yes,Other,,,,No,Volunteering my time or skills in local programs;Donating money to United Way of Southern Maine;,,,,,,,,,,,
10049,Full Survey,1102066:09:35,"Child care that is affordable and available;Finding affordable healthcare;Covering basic expenses (groceries, gas, emergencies);Feeling isolated or not connected to community;Paying for housing (rent, utilities, mortgage, taxes);",Cumberland,Yes,No,,,,,No,Joining a group that solves community issues;Helping connect people to services or resources;,,,,,,,,,,,
10050,Full Survey,1102066:11:24,"Covering basic expenses (groceries, gas, emergencies);Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Child care that is affordable and available;Caring for aging parents or relatives;",York,Yes,Maybe,Other,,,,No,Volunteering my time or skills in local programs;,,,,,,,,,,,
10051,Full Survey,1102066:10:49,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Child care that is affordable and available;Caring for aging parents or relatives;Covering basic expenses (groceries, gas, emergencies);",Cumberland,Yes,No,,,,,Yes,Volunteering my time or skills in local programs;Joining a group that solves community issues;Speaking up or helping spread the word about important issues;Sharing my story or experiences to help others understand;Not sure yet - I am open to ideas;Donating to United Way of Southern Maine;,,,,,,,,,,,
10052,Full Survey,1102066:10:13,"Behavioral health challenges (like substance use or addiction);Mental health challenges (like anxiety, depression);Feeling isolated or not connected to community;",York,Yes,No,,,,,No,Volunteering my time or skills in local programs;Joining a group that solves community issues;Donating money to United Way of Southern Maine;,,,,,,,,,,,
10053,Full Survey,1102066:14:19,"Finding affordable healthcare;Mental health challenges (like anxiety, depression);Jobs with low pay or no benefits;",Other,Yes,No,,,,,No,Volunteering my time or skills in local programs;,,,,,,,,,,,
10054,Full Survey,1102066:15:01,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Behavioral health challenges (like substance use or addiction);Child care that is affordable and available;Finding affordable healthcare;",Cumberland,Yes,No,,,,,No,Volunteering my time or skills in local programs;Donating money to United Way of Southern Maine;,,,,,,,,,,,
10055,Full Survey,1102066:11:31,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Jobs with low pay or no benefits;Mental health challenges (like anxiety, depression);Lack of stable jobs with career growth;",Cumberland,Yes,No,,,,,No,Volunteering my time or skills in local programs;Joining a group that solves community issues;,,,,,,,,,,,
10056,Full Survey,1102066:15:31,"Covering basic expenses (groceries, gas, emergencies);Getting enough food;Mental health challenges (like anxiety, depression);Paying for housing (rent, utilities, mortgage, taxes);Behavioral health challenges (like substance use or addiction);",Cumberland,Yes,No,,,,,No,Volunteering my time or skills in local programs;Joining a group that solves community issues;Sharing my story or experiences to help others understand;,,,,,,,,,,,
10057,Full Survey,1102066:16:38,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;",Cumberland,Yes,No,,,,,No,Volunteering my time or skills in local programs;,,,,,,,,,,,
10058,Full Survey,1102066:15:52,"Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Caring for aging parents or relatives;",Other,"Maybe, with difficulty",Maybe,Other,,,,No,Volunteering my time or skills in local programs;,,,,,,,,,,,
10059,Full Survey,1102066:16:07,Finding affordable healthcare;Child care that is affordable and available;,Other,Yes,No,,,,,No,Not sure yet - I am open to ideas;,,,,,,,,,,,
10060,Abbreviated Survey,1102066:14:11,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Jobs with low pay or no benefits;",Cumberland,,,,,,,,,,,,,,,,,,,
10061,Full Survey,1102066:27:28,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;",Cumberland,Yes,No,,,,,No,Donating money to United Way of Southern Maine;Helping connect people to services or resources;Sharing my story or experiences to help others understand;,,,,,,,,,,,
10062,Full Survey,1102066:34:05,"Child care that is affordable and available;Paying for housing (rent, utilities, mortgage, taxes);",Cumberland,Yes,No,,,,,No,Not sure yet - I am open to ideas;,,,,,,,,,,,
10063,Full Survey,1102066:34:05,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Caring for aging parents or relatives;",Cumberland,Yes,No,,,,,No,Volunteering my time or skills in local programs;Not sure yet - I am open to ideas;,,,,,,,,,,,
10064,Full Survey,1102066:32:15,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);",Cumberland,Yes,No,,,,,,Volunteering my time or skills in local programs;Donating money to United Way of Southern Maine;,,,,,,,,,,,
10065,Full Survey,1102066:34:22,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Finding affordable healthcare;",Other,No,No,,,,,No,Volunteering my time or skills in local programs;Joining a group that solves community issues;,,,,,,,,,,,
10066,Full Survey,1102066:37:44,"Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;",Cumberland,Yes,No,,,,,No,Donating money to United Way of Southern Maine;,,,,,,,,,,,
10067,Full Survey,1102066:38:57,Lack of stable jobs with career growth;,York,Yes,No,,,,,No,Volunteering my time or skills in local programs;,,,,,,,,,,,
10068,Full Survey,1102066:37:41,"Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);",York,Yes,No,,,,,No,Not sure yet - I am open to ideas;,,,,,,,,,,,
10069,Full Survey,1102066:38:42,"Mental health challenges (like anxiety, depression);",Cumberland,Yes,No,,,,,No,Volunteering my time or skills in local programs;,,,,,,,,,,,
10070,Full Survey,1102066:38:34,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Finding affordable healthcare;Mental health challenges (like anxiety, depression);",Other,Yes,No,,,,,No,Volunteering my time or skills in local programs;Joining a group that solves community issues;Speaking up or helping spread the word about important issues;,,,,,,,,,,,
10071,Full Survey,1102066:37:48,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Behavioral health challenges (like substance use or addiction);",Cumberland,Yes,No,,,,,No,Donating money to United Way of Southern Maine;,,,,,,,,,,,
10072,Full Survey,1102066:44:40,Caring for aging parents or relatives;,Other,"Maybe, with difficulty",No,,,,,No,Not sure yet - I am open to ideas;,,,,,,,,,,,
10073,Full Survey,1102066:43:55,Child care that is affordable and available;,Other,Yes,Yes,Other,,,,No,Not sure yet - I am open to ideas;,,,,,,,,,,,
10074,Full Survey,1102066:45:25,Finding affordable healthcare;,Cumberland,Yes,Yes,Other,,,,No,Donating money to United Way of Southern Maine;,,,,,,,,,,,
10075,Full Survey,1102066:44:33,Getting enough food;,Cumberland,Yes,Yes,Other,,,,No,Sharing my story or experiences to help others understand;,,,,,,,,,,,
10076,Full Survey,1102066:45:28,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;",Cumberland,Yes,Yes,Other,,,,,Volunteering my time or skills in local programs;,,,,,,,,,,,
